t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
10.508399999988848,-392.4851930138204,-541.1051531894078,-63.73541805279891,-102.98329999986322,-3.426492459644706,-9.8
10.608499999988615,-398.88223494671263,-551.4629286173941,-64.07669727230191,-103.96427999986165,-3.392364196411773,-9.8
10.708599999988381,-405.31326834669073,-561.9189001433803,-64.41457731110454,-104.94525999986007,-3.3585758546480937,-9.8
10.808699999988148,-411.77795465479227,-572.4730677673662,-64.74909202544148,-105.9262399998585,-3.3251240486963383,-9.8
10.908799999987915,-418.27595868414016,-583.1254314893517,-65.08027493433576,-106.90721999985692,-3.2920054266206904,-9.8
11.008899999987682,-424.8069485863568,-593.8759913093375,-65.40815922295685,-107.88819999985535,-3.259216669871013,-9.8
11.108999999987448,-431.37059581831403,-604.724747227323,-65.73277774594646,-108.86917999985377,-3.226754492950284,-9.8
11.209099999987215,-437.96657510921045,-615.6716992433081,-66.05416303070942,-109.8501599998522,-3.1946156430854886,-9.8
11.309199999986982,-444.59456442798074,-626.7168473572932,-66.37234728067494,-110.83113999985062,-3.1627968999015055,-9.8
11.409299999986748,-451.25424495102595,-637.8601915692783,-66.68736237852116,-111.81211999984905,-3.1312950750986346,-9.8
11.509399999986515,-457.9453010302682,-649.101731879263,-66.99923988937209,-112.79309999984747,-3.100107012132913,-9.8
11.609499999986282,-464.66742016152017,-660.4414682872476,-67.30801106395873,-113.7740799998459,-3.0692295858999863,-9.8
11.709599999986049,-471.4202929531714,-671.8794007932322,-67.61370684175142,-114.75505999984432,-3.0386597024218815,-9.8
11.809699999985815,-478.2036130951912,-683.4155293972166,-67.91635785405941,-115.73603999984275,-3.008394298537045,-9.8
11.909799999985582,-485.01707732842846,-695.0498540992006,-68.21599442710131,-116.71701999984117,-2.9784303415932856,-9.8
12.009899999985349,-491.8603854142307,-706.7823748991847,-68.51264658504242,-117.6979999998396,-2.94876482914405,-9.8
12.109999999985115,-498.7332401043573,-718.6130917971685,-68.80634405300448,-118.67897999983802,-2.9193947886474394,-9.8
12.210099999984882,-505.6353471111956,-730.5420047931523,-69.09711626004285,-119.65995999983645,-2.890317277168487,-9.8
12.310199999984649,-512.5664150782708,-742.5691138871358,-69.38499234209621,-120.64093999983487,-2.861529381084189,-9.8
12.410299999984415,-519.52615555105,-754.6944190791193,-69.67000114490615,-121.6219199998333,-2.8330282157915434,-9.8
12.510399999984182,-526.514282948044,-766.9179203691025,-69.95217122690752,-122.60289999983172,-2.8048109254185025,-9.8
12.610499999983949,-533.5305145321881,-779.2396177570854,-70.23153086208956,-123.58387999983015,-2.77687468253787,-9.8
12.710599999983716,-540.5745703825091,-791.6595112430684,-70.50810804282925,-124.56485999982857,-2.749216687883955,-9.8
12.810699999983482,-547.6461733660843,-804.1776008270513,-70.78193048269621,-125.545839999827,-2.7218341700720803,-9.8
12.910799999983249,-554.7450491102626,-816.7938865090339,-71.05302561922962,-126.52681999982542,-2.6947243853208924,-9.8
13.010899999983016,-561.8709259751778,-829.5083682890163,-71.32142061668803,-127.50779999982385,-2.6678846171773687,-9.8
13.110999999982782,-569.0235350265287,-842.3210461669986,-71.58714236877057,-128.48877999982227,-2.641312176244705,-9.8
13.21109999998255,-576.2026100086288,-855.2319201429807,-71.85021750131189,-129.4697599998207,-2.6150043999128103,-9.8
13.311199999982316,-583.4078873177331,-868.2409902169626,-72.11067237495003,-130.45073999981912,-2.5889586520915193,-9.8
13.411299999982083,-590.6391059756169,-881.3482563889445,-72.36853308776867,-131.43171999981755,-2.5631723229463637,-9.8
13.51139999998185,-597.8960076034347,-894.5537186589262,-72.62382547791083,-132.41269999981597,-2.5376428286372033,-9.8
13.611499999981616,-605.1783363958181,-907.8573770269076,-72.87657512616892,-133.3936799998144,-2.5123676110592186,-9.8
13.711599999981383,-612.4858390952522,-921.259231492889,-73.12680735854798,-134.37465999981282,-2.487344137586579,-9.8
13.81169999998115,-619.8182649666943,-934.7592820568701,-73.3745472488026,-135.35563999981125,-2.4625699008187487,-9.8
13.911799999980916,-627.1753657724539,-948.3575287188512,-73.6198196209505,-136.33661999980967,-2.4380424183291343,-9.8
14.011899999980683,-634.5568957473203,-962.053971478832,-73.86264905175824,-137.3175999998081,-2.4137592324165,-9.8
14.11199999998045,-641.9626115739267,-975.8486103368128,-74.10305987320588,-138.29857999980652,-2.3897179098585113,-9.8
14.212099999980216,-649.3922723583781,-989.7414452927933,-74.34107617492394,-139.27955999980495,-2.3659160416680223,-9.8
14.312199999979983,-656.8456396061089,-1003.7324763467736,-74.57672180660694,-140.26053999980337,-2.342351242851734,-9.8
14.41229999997975,-664.3224771979928,-1017.8217034987539,-74.81002038040413,-141.2415199998018,-2.3190211521711097,-9.8
14.512399999979516,-671.8225513666721,-1032.0091267487337,-75.04099527328519,-142.22249999980022,-2.2959234319058,-9.8
14.612499999979283,-679.345630673142,-1046.2947460967139,-75.26966962938172,-143.20347999979865,-2.2730557676195033,-9.8
14.71259999997905,-686.8914859835548,-1060.6785615426936,-75.49606636230816,-144.18445999979707,-2.250415867927863,-9.8
14.812699999978816,-694.4598904462591,-1075.160573086673,-75.72020815745559,-145.1654399997955,-2.2280014642690844,-9.8
14.912799999978583,-702.0506194690815,-1089.7407807286525,-75.9421174742664,-146.14641999979392,-2.205810310676468,-9.8
15.01289999997835,-709.6634506968054,-1104.419184468632,-76.16181654848454,-147.12739999979235,-2.1838401835533823,-9.8
15.112999999978117,-717.2981639889034,-1119.1957843066111,-76.37932739438303,-148.10837999979077,-2.1620888814505124,-9.8
15.213099999977883,-724.9545413974708,-1134.0705802425898,-76.59467180697042,-149.0893599997892,-2.140554224845207,-9.8
15.31319999997765,-732.6323671453872,-1149.0435722765687,-76.80787136417456,-150.07033999978762,-2.119234055923103,-9.8
15.413299999977417,-740.3314276046987,-1164.1147604085475,-77.01894742900377,-151.05131999978605,-2.0981262383620063,-9.8
15.513399999977183,-748.0515112752123,-1179.284144638526,-77.2279211516895,-152.03229999978447,-2.0772286571176215,-9.8
15.61349999997695,-755.7924087632997,-1194.5517249665043,-77.43481347180408,-153.0132799997829,-2.0565392182117748,-9.8
15.713599999976717,-763.5539127609193,-1209.9175013924823,-77.63964512035862,-153.99425999978132,-2.036055848522624,-9.8
15.813699999976484,-771.3358180248404,-1225.3814739164604,-77.84243662188163,-154.97523999977975,-2.0157764955767936,-9.8
15.91379999997625,-779.1379213560771,-1240.9436425384383,-78.04320829647467,-155.95621999977817,-1.9956991273438067,-9.8
16.01389999997602,-786.9600215795343,-1256.604007258416,-78.24198026184861,-156.9371999997766,-1.9758217320324594,-9.8
16.113999999975785,-794.8019195238383,-1272.3625680763937,-78.43877243533971,-157.91817999977502,-1.9561423178892072,-9.8
16.214099999975552,-802.6634180013882,-1288.219324992371,-78.6336045359056,-158.89915999977345,-1.9366589129985705,-9.8
16.31419999997532,-810.5443217885943,-1304.1742780063485,-78.82649608610069,-159.88013999977187,-1.9173695650855826,-9.8
16.414299999975086,-818.4444376063185,-1320.2274271183253,-79.01746641403174,-160.8611199997703,-1.89827234132024,-9.8
16.514399999974852,-826.3635741005018,-1336.3787723283021,-79.20653465529585,-161.84209999976872,-1.8793653281236962,-9.8
16.61449999997462,-834.3015418229947,-1352.628313636279,-79.39371975489756,-162.82307999976715,-1.8606466309765537,-9.8
16.714599999974386,-842.2581532125743,-1368.976051042256,-79.57904046914675,-163.80405999976557,-1.8421143742290687,-9.8
16.814699999974152,-850.2332225761496,-1385.4219845462321,-79.76251536753807,-164.785039999764,-1.823766700913203,-9.8
16.91479999997392,-858.2265660701551,-1401.9661141482081,-79.94416283461217,-165.76601999976242,-1.8056017725565088,-9.8
17.014899999973686,-866.2380016821247,-1418.6084398481844,-80.12400107179757,-166.74699999976085,-1.787617768997933,-9.8
17.114999999973453,-874.267349212464,-1435.3489616461607,-80.3020480992339,-167.72797999975927,-1.7698128882054913,-9.8
17.21509999997322,-882.3144302563795,-1452.1876795421365,-80.47832175757895,-168.7089599997577,-1.7521853460955654,-9.8
17.315199999972986,-890.3790681860164,-1469.1245935361121,-80.65283970979469,-169.68993999975612,-1.7347333763542956,-9.8
17.415299999972753,-898.4610881327518,-1486.1597036280875,-80.82561944291838,-170.67091999975455,-1.7174552302604642,-9.8
17.51539999997252,-906.5603169696768,-1503.293009818063,-80.99667826981431,-171.65189999975297,-1.7003491765103345,-9.8
17.615499999972286,-914.6765832942405,-1520.5245121060382,-81.16603333090823,-172.6328799997514,-1.6834135010441873,-9.8
17.715599999972053,-922.8097174110871,-1537.8542104920132,-81.33370159590612,-173.61385999974982,-1.6666465068744571,-9.8
17.81569999997182,-930.9595513150454,-1555.2821049759882,-81.49969986549308,-174.59483999974825,-1.6500465139158305,-9.8
17.915799999971586,-939.1259186742938,-1572.8081955579628,-81.66404477301728,-175.57581999974667,-1.6336118588168613,-9.8
18.015899999971353,-947.308654813695,-1590.4324822379374,-81.82675278615714,-176.5567999997451,-1.6173408947932337,-9.8
18.11599999997112,-955.5075966982956,-1608.1549650159118,-81.98784020857119,-177.53777999974352,-1.6012319914627966,-9.8
18.216099999970886,-963.7225829169914,-1625.975643891886,-82.14732318153129,-178.51875999974195,-1.5852835346822172,-9.8
18.316199999970653,-971.9534536663489,-1643.8945188658602,-82.30521768554055,-179.49973999974037,-1.5694939263852081,-9.8
18.41629999997042,-980.200050734595,-1661.9115899378342,-82.4615395419346,-180.4807199997388,-1.5538615844223838,-9.8
18.516399999970186,-988.4622174857669,-1680.0268571078077,-82.61630441446634,-181.46169999973722,-1.5383849424027911,-9.8
18.616499999969953,-996.7397988440118,-1698.2403203757813,-82.76952781087564,-182.44267999973565,-1.5230624495369316,-9.8
18.71659999996972,-1005.0326412780513,-1716.5519797417548,-82.92122508444444,-183.42365999973407,-1.5078925704812605,-9.8
18.816699999969487,-1013.3405927857963,-1734.9618352057284,-83.07141143553349,-184.4046399997325,-1.4928737851845035,-9.8
18.916799999969253,-1021.6635028791153,-1753.4698867677014,-83.2201019131063,-185.38561999973092,-1.4780045887352582,-9.8
19.01689999996902,-1030.001222568756,-1772.0761344276743,-83.36731141623686,-186.36659999972935,-1.463283491211227,-9.8
19.116999999968787,-1038.3536043494196,-1790.780578185647,-83.5130546956031,-187.34757999972777,-1.4487090175298647,-9.8
19.217099999968553,-1046.7205021849786,-1809.58321804162,-83.65734635496386,-188.3285599997262,-1.4342797073006874,-9.8
19.31719999996832,-1055.1017714938318,-1828.4840539955924,-83.80020085262323,-189.30953999972462,-1.4199941146788237,-9.8
19.417299999968087,-1063.4972691344385,-1847.4830860475647,-83.9416325028791,-190.29051999972305,-1.4058508082201726,-9.8
19.517399999967854,-1071.9068533909624,-1866.580314197537,-84.08165547745669,-191.27149999972147,-1.3918483707380371,-9.8
